condition,feature,feature_group
N0,surface_char_count,surface
N0,surface_mean_word_length,surface
N0,surface_paragraph_count,surface
N0,surface_sentence_count,surface
N0,surface_word_count,surface
N1,count_Claim,count
N1,count_Concluding_Statement,count
N1,count_Counterclaim,count
N1,count_Evidence,count
N1,count_Lead,count
N1,count_Position,count
N1,count_Rebuttal,count
N1,count_annotation_coverage,count
N1,count_total_components,count
N1,count_total_segments,count
N1,count_unannotated_gaps,count
N1,count_unannotated_proportion,count
N1,prop_Claim,count
N1,prop_Concluding_Statement,count
N1,prop_Counterclaim,count
N1,prop_Evidence,count
N1,prop_Lead,count
N1,prop_Position,count
N1,prop_Rebuttal,count
N1,surface_char_count,surface
N1,surface_mean_word_length,surface
N1,surface_paragraph_count,surface
N1,surface_sentence_count,surface
N1,surface_word_count,surface
N2,count_Claim,count
N2,count_Concluding_Statement,count
N2,count_Counterclaim,count
N2,count_Evidence,count
N2,count_Lead,count
N2,count_Position,count
N2,count_Rebuttal,count
N2,count_annotation_coverage,count
N2,count_total_components,count
N2,count_total_segments,count
N2,count_unannotated_gaps,count
N2,count_unannotated_proportion,count
N2,order_final_is_Claim,order
N2,order_final_is_Concluding_Statement,order
N2,order_final_is_Counterclaim,order
N2,order_final_is_Evidence,order
N2,order_final_is_Lead,order
N2,order_final_is_Position,order
N2,order_final_is_Rebuttal,order
N2,order_final_pos_Claim,order
N2,order_final_pos_Concluding_Statement,order
N2,order_final_pos_Counterclaim,order
N2,order_final_pos_Evidence,order
N2,order_final_pos_Lead,order
N2,order_final_pos_Position,order
N2,order_final_pos_Rebuttal,order
N2,order_first_is_Claim,order
N2,order_first_is_Concluding_Statement,order
N2,order_first_is_Counterclaim,order
N2,order_first_is_Evidence,order
N2,order_first_is_Lead,order
N2,order_first_is_Position,order
N2,order_first_is_Rebuttal,order
N2,order_first_pos_Claim,order
N2,order_first_pos_Concluding_Statement,order
N2,order_first_pos_Counterclaim,order
N2,order_first_pos_Evidence,order
N2,order_first_pos_Lead,order
N2,order_first_pos_Position,order
N2,order_first_pos_Rebuttal,order
N2,order_mean_pos_Claim,order
N2,order_mean_pos_Concluding_Statement,order
N2,order_mean_pos_Counterclaim,order
