prompt_name,essay_count,task_types,independent_count,text_dependent_count,grade_levels,score_min,score_max,unique_scores,score_distribution_json
Facial action coding system,2167,Text dependent,0,2167,10.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 792, ""2.0"": 678, ""4.0"": 334, ""1.0"": 175, ""5.0"": 139, ""6.0"": 49}"
Distance learning,2157,Independent,2157,0,9.0|10.0|11.0|12.0,1.0,6.0,1|2|3|4|5|6,"{""5.0"": 678, ""4.0"": 657, ""3.0"": 386, ""6.0"": 336, ""2.0"": 91, ""1.0"": 9}"
Does the electoral college work?,2046,Text dependent,0,2046,9.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 674, ""2.0"": 513, ""4.0"": 466, ""1.0"": 191, ""5.0"": 170, ""6.0"": 32}"
Car-free cities,1959,Text dependent,0,1959,10.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 701, ""4.0"": 539, ""2.0"": 412, ""5.0"": 160, ""1.0"": 139, ""6.0"": 8}"
Driverless cars,1886,Text dependent,0,1886,10.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 776, ""4.0"": 489, ""2.0"": 433, ""5.0"": 148, ""1.0"": 36, ""6.0"": 4}"
Exploring Venus,1862,Text dependent,0,1862,10.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 573, ""2.0"": 549, ""4.0"": 387, ""1.0"": 198, ""5.0"": 124, ""6.0"": 31}"
Summer projects,1750,Independent,1750,0,9.0|10.0|11.0|12.0,1.0,6.0,1|2|3|4|5|6,"{""5.0"": 675, ""4.0"": 549, ""6.0"": 255, ""3.0"": 218, ""2.0"": 47, ""1.0"": 6}"
Mandatory extracurricular activities,1670,Independent,1670,0,8.0,1.0,6.0,1|2|3|4|5|6,"{""4.0"": 664, ""3.0"": 401, ""5.0"": 371, ""2.0"": 163, ""6.0"": 65, ""1.0"": 6}"
Cell phones at school,1656,Independent,1656,0,8.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 783, ""2.0"": 432, ""4.0"": 342, ""5.0"": 84, ""1.0"": 10, ""6.0"": 5}"
Grades for extracurricular activities,1626,Independent,1626,0,8.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 641, ""2.0"": 547, ""4.0"": 354, ""5.0"": 52, ""1.0"": 30, ""6.0"": 2}"
The Face on Mars,1583,Text dependent,0,1583,8.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 623, ""2.0"": 484, ""4.0"": 305, ""5.0"": 88, ""1.0"": 66, ""6.0"": 17}"
Seeking multiple opinions,1552,Independent,1552,0,8.0,1.0,6.0,1|2|3|4|5|6,"{""4.0"": 727, ""3.0"": 367, ""5.0"": 300, ""2.0"": 119, ""6.0"": 36, ""1.0"": 3}"
Community service,1542,Independent,1542,0,8.0,1.0,6.0,1|2|3|4|5|6,"{""3.0"": 613, ""2.0"": 533, ""4.0"": 304, ""5.0"": 73, ""1.0"": 17, ""6.0"": 2}"
"""A Cowboy Who Rode the Waves""",1372,Text dependent,0,1372,6.0,1.0,5.0,1|2|3|4|5,"{""2.0"": 644, ""3.0"": 470, ""1.0"": 141, ""4.0"": 107, ""5.0"": 10}"
Phones and driving,1166,Independent,1166,0,,1.0,6.0,1|2|3|4|5|6,"{""4.0"": 505, ""3.0"": 350, ""5.0"": 225, ""2.0"": 54, ""6.0"": 31, ""1.0"": 1}"
