essay_id,total_segments,unannotated_segments,start_min,end_max,text_length,annotated_segments,partition_status,order_valid_heuristic,start_order_matches_type_num_order,annotated_overlap_pairs,duplicate_annotations,missing_key_discourse_types,has_no_annotations
2021000039,7,1,0,1313,1314,6,complete_partition,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000047,13,1,0,1992,2027,12,does_not_end_at_last_char,True,False,0,0,Lead,False
2021000071,13,4,0,2211,2250,9,does_not_end_at_last_char,True,False,0,0,Lead,False
2021000080,9,3,0,880,918,6,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000101,15,5,0,1820,1822,10,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000110,7,1,0,1433,1435,6,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000136,10,3,0,1604,1607,7,does_not_end_at_last_char,True,False,0,0,Lead,False
2021000144,7,1,0,1254,1256,6,does_not_end_at_last_char,True,False,0,0,Counterclaim|Rebuttal,False
2021000152,13,1,0,2219,2265,12,does_not_end_at_last_char,True,False,0,0,Counterclaim|Rebuttal,False
2021000187,5,1,0,1021,1021,4,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000233,17,6,0,1619,1747,11,does_not_end_at_last_char,True,False,0,0,Concluding Statement|Counterclaim|Rebuttal,False
2021000241,13,1,0,1652,1655,12,does_not_end_at_last_char,True,False,0,0,Concluding Statement|Counterclaim|Rebuttal,False
2021000250,12,3,0,1422,1425,9,does_not_end_at_last_char,True,False,0,0,Counterclaim|Rebuttal,False
2021000268,7,1,0,1516,1532,6,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000276,9,1,0,1565,1565,8,does_not_end_at_last_char,True,False,0,0,Concluding Statement|Lead,False
2021000292,13,0,0,2092,2100,13,does_not_end_at_last_char,True,False,0,0,Counterclaim|Lead|Rebuttal,False
2021000306,7,0,0,1466,1468,7,does_not_end_at_last_char,True,False,0,0,Concluding Statement|Counterclaim|Lead|Rebuttal,False
