essay_id,holistic_essay_score,prompt_name,task,competition_set,char_count,word_count_computed,essay_word_count_field,discourse_component_count,discourse_label_diversity,annotation_coverage_pct,has_lead,has_position,has_claim,has_evidence,has_counterclaim,has_rebuttal,has_concluding_statement,join_valid
5.40889E+12,3.0,Phones and driving,Independent,train,2029,393,378,10,5,99.655,True,True,True,True,False,False,True,True
5.15292E+12,3.0,Phones and driving,Independent,train,1243,213,221,4,4,99.9195,False,True,True,True,False,False,True,True
4.84513E+12,4.0,Phones and driving,Independent,train,1911,333,334,7,7,99.4767,True,True,True,True,True,True,True,True
5.14559E+12,4.0,Phones and driving,Independent,train,3513,606,591,12,5,99.8861,True,True,True,True,False,False,True,True
5.39515E+12,4.0,Phones and driving,Independent,train,2048,364,353,9,5,99.707,True,True,True,True,False,False,True,True
5.67172E+12,5.0,Phones and driving,Independent,train,2921,527,521,12,5,99.8631,True,True,True,True,False,False,True,True
5.76161E+12,4.0,Phones and driving,Independent,train,2576,444,441,9,4,99.7671,False,True,True,True,False,False,True,True
5.32398E+12,4.0,Phones and driving,Independent,train,3002,544,534,8,5,99.8668,True,True,True,True,False,False,True,True
5.32799E+12,3.0,Phones and driving,Independent,train,2483,395,362,8,4,78.3327,False,True,True,True,False,False,True,True
5.26244E+12,2.0,Phones and driving,Independent,train,2537,401,395,6,4,65.7469,True,True,True,True,False,False,False,True
5.87431E+12,2.0,Phones and driving,Independent,train,1019,206,204,7,5,99.5093,True,True,True,True,False,False,True,True
5.47949E+12,4.0,Phones and driving,Independent,train,2742,478,479,7,6,99.8541,True,True,True,True,True,False,True,True
4.28022E+12,3.0,Phones and driving,Independent,train,1754,332,322,9,5,99.829,True,True,True,True,False,False,True,True
5.84237E+12,3.0,Phones and driving,Independent,train,1156,201,204,7,3,99.7405,False,True,True,True,False,False,False,True
5.6727E+12,6.0,Phones and driving,Independent,train,3497,631,620,10,7,99.7712,True,True,True,True,True,True,True,True
5.4162E+12,4.0,Phones and driving,Independent,train,3121,527,529,14,5,97.9814,True,True,True,True,False,False,True,True
5.34676E+12,3.0,Phones and driving,Independent,train,1823,337,340,6,4,97.2024,True,True,True,True,False,False,False,True
4.92656E+12,4.0,Phones and driving,Independent,train,2334,447,442,9,4,99.7001,False,True,True,True,False,False,True,True
5.38448E+12,4.0,Phones and driving,Independent,train,3542,662,659,12,5,99.8588,True,True,True,True,False,False,True,True
5.11945E+12,4.0,Phones and driving,Independent,train,2206,411,417,8,5,98.7761,True,True,True,True,False,False,True,True
5.74229E+12,5.0,Phones and driving,Independent,train,3026,609,589,9,5,99.7687,True,True,True,True,False,False,True,True
5.69482E+12,4.0,Phones and driving,Independent,train,1891,343,333,13,5,98.8895,True,True,True,True,False,False,True,True
4.86022E+12,4.0,Phones and driving,Independent,train,2749,489,657,10,5,93.2703,True,True,True,True,False,False,True,True
4.84092E+12,4.0,Phones and driving,Independent,train,2718,501,490,9,5,99.8528,True,True,True,True,False,False,True,True
5.30939E+12,5.0,Phones and driving,Independent,train,2818,501,498,12,5,99.2903,True,True,True,True,False,False,True,True
5.49822E+12,4.0,Phones and driving,Independent,train,1610,294,293,8,5,99.8758,True,True,True,True,False,False,True,True
5.34623E+12,5.0,Phones and driving,Independent,train,3082,553,556,10,7,99.1888,True,True,True,True,True,True,True,True
5.56095E+12,4.0,Phones and driving,Independent,train,3202,545,512,13,5,90.2873,True,True,True,True,False,False,True,True
5.66689E+12,3.0,Phones and driving,Independent,train,1395,287,286,6,4,100.0,False,True,True,True,False,False,True,True
5.65992E+12,3.0,Phones and driving,Independent,train,1954,348,347,6,5,99.7953,True,True,True,True,False,False,True,True
5.94683E+12,3.0,Phones and driving,Independent,train,1235,244,235,7,5,99.5951,True,True,True,True,False,False,True,True
5.86399E+12,4.0,Phones and driving,Independent,train,1875,337,330,7,5,99.84,True,True,True,True,False,False,True,True
5.34956E+12,4.0,Phones and driving,Independent,train,2313,421,421,9,4,99.6541,False,True,True,True,False,False,True,True
4.91241E+12,4.0,Phones and driving,Independent,train,1705,295,298,14,5,98.9443,False,True,True,True,True,True,False,True
4.64072E+12,3.0,Phones and driving,Independent,train,1239,243,238,8,5,99.6772,True,True,True,True,False,False,True,True
4.85864E+12,5.0,Phones and driving,Independent,train,3759,658,687,9,7,86.8848,True,True,True,True,True,True,True,True
4.93323E+12,4.0,Phones and driving,Independent,train,1771,312,304,9,4,99.8871,False,True,True,True,False,False,True,True
5.41867E+12,5.0,Phones and driving,Independent,train,3372,645,634,11,5,99.4958,True,True,True,True,False,False,True,True
5.41842E+12,3.0,Phones and driving,Independent,train,1730,307,303,8,4,99.7688,False,True,True,True,True,False,False,True
5.39914E+12,4.0,Phones and driving,Independent,train,2441,473,468,11,6,99.5903,True,True,True,True,True,False,True,True
5.00435E+12,4.0,Phones and driving,Independent,train,2840,509,508,7,5,99.7535,True,True,True,True,False,False,True,True
5.02914E+12,3.0,Phones and driving,Independent,train,2855,506,530,14,7,89.4571,True,True,True,True,True,True,True,True
4.66253E+12,3.0,Phones and driving,Independent,train,1614,293,291,13,5,99.8141,True,True,True,True,False,False,True,True
5.33934E+12,4.0,Phones and driving,Independent,train,1600,281,291,9,6,98.375,False,True,True,True,True,True,True,True
5.11379E+12,4.0,Phones and driving,Independent,train,2289,432,431,10,7,99.2573,True,True,True,True,True,True,True,True
5.6742E+12,4.0,Phones and driving,Independent,train,3319,603,600,7,3,99.8494,False,True,True,True,False,False,False,True
5.07456E+12,5.0,Phones and driving,Independent,train,3930,713,693,9,5,99.8982,True,True,True,True,False,False,True,True
5.34515E+12,3.0,Phones and driving,Independent,train,1615,292,288,7,5,99.8762,True,True,True,True,False,False,True,True
575761115212010thLitAB,4.0,Phones and driving,Independent,train,2334,436,423,8,7,99.9572,True,True,True,True,True,True,True,True
5.88194E+12,4.0,Phones and driving,Independent,train,2383,440,459,22,5,198.1116,True,True,True,True,False,False,True,False
5.34894E+12,4.0,Phones and driving,Independent,train,2691,497,491,14,7,99.8514,True,True,True,True,True,True,True,True
4.2349E+12,4.0,Phones and driving,Independent,train,2052,383,377,9,4,99.4152,False,True,True,True,False,False,True,True
5.83124E+12,5.0,Phones and driving,Independent,train,3566,612,600,16,7,99.7476,True,True,True,True,True,True,True,True
5.52597E+12,4.0,Phones and driving,Independent,train,1876,340,334,7,4,99.8934,False,True,True,True,False,False,True,True
5.76191E+12,3.0,Phones and driving,Independent,train,1573,276,282,8,5,98.22,True,True,True,True,False,False,True,True
5.75498E+12,5.0,Phones and driving,Independent,train,3322,530,500,9,5,86.7249,True,True,True,True,False,False,True,True
5.22543E+12,3.0,Phones and driving,Independent,train,1286,233,229,8,5,99.7667,True,True,True,True,False,False,True,True
4.99102E+11,3.0,Phones and driving,Independent,train,1423,267,266,6,4,99.7189,True,True,True,True,False,False,False,True
565918115212010thLitAB,3.0,Phones and driving,Independent,train,1265,248,238,9,5,99.6838,True,True,True,True,False,False,True,True
5.93645E+12,4.0,Phones and driving,Independent,train,2104,387,384,14,6,96.673,True,True,True,True,True,True,False,True
5.78838E+12,3.0,Phones and driving,Independent,train,1429,255,252,6,4,99.93,False,True,True,True,False,False,True,True
5.32034E+12,4.0,Phones and driving,Independent,train,1917,358,357,12,4,99.1132,False,True,True,True,False,False,True,True
5.61333E+12,4.0,Phones and driving,Independent,train,2716,491,542,12,6,99.2636,False,True,True,True,True,True,True,True
